epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2272.99,0.60597,0.29559,0.20553,0,0,0,0,0.46708,0.2061,0.18129,0.00333156,0.00333156,0.00333156
2,4563.88,0.67162,0.25976,0.19332,0,0,0,0,0.52635,0.21301,0.19522,0.00659891,0.00659891,0.00659891
3,6884.04,0.78423,0.27158,0.21796,0,0,0,0,0.58393,0.23899,0.22403,0.00980026,0.00980026,0.00980026
4,9222.69,0.81941,0.29131,0.23357,0,0,0,0,0.57516,0.23471,0.22069,0.009703,0.009703,0.009703
5,11576.8,0.81044,0.28842,0.22792,0,0,0,0,0.57431,0.23419,0.21975,0.009604,0.009604,0.009604
6,13912.7,0.80281,0.28931,0.22738,0,0,0,0,0.5565,0.22848,0.215,0.009505,0.009505,0.009505
7,16250.9,0.80556,0.29256,0.22946,0,0,0,0,0.57281,0.22967,0.23125,0.009406,0.009406,0.009406
8,18586.2,0.80987,0.29679,0.23396,0,0,0,0,0.57722,0.23031,0.23087,0.009307,0.009307,0.009307
9,20917.9,0.82608,0.30894,0.24014,0,0,0,0,0.57304,0.23653,0.2345,0.009208,0.009208,0.009208
10,23250.6,0.80965,0.30864,0.23865,0,0,0,0,0.57592,0.23923,0.23828,0.009109,0.009109,0.009109
11,25581.1,0.73854,0.30119,0.22008,0,0,0,0,0.58507,0.23938,0.24145,0.00901,0.00901,0.00901
