epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1867.3,1.50848,0.2596,1.71714,0.24955,0.08176,0.03374,0.02038,1.38727,0.2472,1.60152,0.001,0.001,0.001
2,3736.11,1.3157,0.24429,1.54544,0.21851,0.12067,0.0588,0.0365,1.30593,0.2331,1.52431,0.000998474,0.000998474,0.000998474
3,5477.1,1.26032,0.23492,1.49064,0.24254,0.14278,0.08231,0.0542,1.22415,0.222,1.43516,0.000993906,0.000993906,0.000993906
4,7196.55,1.21814,0.22853,1.45337,0.23262,0.1673,0.10644,0.07092,1.17936,0.21222,1.3924,0.000986323,0.000986323,0.000986323
5,8900.4,1.19678,0.22364,1.43092,0.24654,0.18477,0.12483,0.08445,1.14906,0.20688,1.36355,0.000975773,0.000975773,0.000975773
6,10612.4,1.17848,0.21941,1.41374,0.27665,0.1987,0.14422,0.09858,1.12709,0.2011,1.3378,0.00096232,0.00096232,0.00096232
7,12322.6,1.16106,0.21555,1.39761,0.2888,0.21117,0.16174,0.111,1.10853,0.19633,1.3212,0.000946048,0.000946048,0.000946048
8,14017.7,1.14303,0.21197,1.38243,0.29555,0.22175,0.17643,0.12259,1.0872,0.19318,1.30449,0.000927057,0.000927057,0.000927057
9,15717.9,1.13693,0.20959,1.37418,0.30479,0.23208,0.18601,0.12984,1.07546,0.19077,1.29504,0.000905463,0.000905463,0.000905463
10,17422,1.12185,0.20645,1.36156,0.31061,0.23758,0.19204,0.13493,1.06845,0.18866,1.28826,0.000881401,0.000881401,0.000881401
11,19131,1.11028,0.20444,1.34998,0.31833,0.24294,0.19701,0.13876,1.06155,0.18738,1.28116,0.000855018,0.000855018,0.000855018
12,20834.6,1.09983,0.20218,1.34208,0.32368,0.24334,0.20178,0.14208,1.05618,0.18615,1.27566,0.000826477,0.000826477,0.000826477
13,22540.9,1.09621,0.20026,1.33803,0.32649,0.24575,0.20682,0.14587,1.05155,0.18529,1.27102,0.000795954,0.000795954,0.000795954
14,24247.6,1.08526,0.1979,1.3271,0.33141,0.24874,0.21132,0.14926,1.04733,0.1844,1.26691,0.000763637,0.000763637,0.000763637
15,25956.3,1.07744,0.19675,1.32205,0.34259,0.24979,0.21528,0.15256,1.04363,0.18346,1.26279,0.000729725,0.000729725,0.000729725
16,27625.4,1.07351,0.19424,1.31543,0.34851,0.25341,0.2196,0.15606,1.03919,0.18259,1.2584,0.000694428,0.000694428,0.000694428
17,29290.2,1.0676,0.19272,1.30804,0.33941,0.25642,0.22409,0.15938,1.03434,0.18174,1.2538,0.000657963,0.000657963,0.000657963
18,30951.7,1.05933,0.19191,1.30508,0.3505,0.25831,0.22887,0.16297,1.0307,0.18081,1.24983,0.000620555,0.000620555,0.000620555
19,32622.5,1.05613,0.19015,1.30035,0.35325,0.26424,0.23387,0.16657,1.02697,0.17973,1.24561,0.000582435,0.000582435,0.000582435
20,34280.2,1.0468,0.18821,1.29074,0.36165,0.26798,0.2389,0.17053,1.02274,0.17863,1.24111,0.000543837,0.000543837,0.000543837
