epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1001.53,1.34058,0.23834,1.54828,0.15778,0.14103,0.07611,0.04876,1.26976,0.22374,1.48166,0.001,0.001,0.001
2,1998.94,1.2067,0.22112,1.43617,0.23223,0.17736,0.11676,0.07497,1.20144,0.20981,1.40137,0.000998474,0.000998474,0.000998474
3,3003.74,1.16549,0.21212,1.39248,0.27377,0.20631,0.14949,0.09963,1.14446,0.19669,1.33061,0.000993906,0.000993906,0.000993906
4,4000.84,1.13602,0.20654,1.36563,0.30737,0.23069,0.18409,0.12527,1.10012,0.18864,1.30851,0.000986323,0.000986323,0.000986323
5,4998.75,1.11758,0.20195,1.34648,0.3082,0.25358,0.20928,0.14374,1.07866,0.1824,1.27768,0.000975773,0.000975773,0.000975773
6,6001.69,1.10126,0.19779,1.32946,0.36021,0.26645,0.23001,0.15989,1.05784,0.17742,1.25569,0.00096232,0.00096232,0.00096232
7,6998.89,1.08906,0.194,1.31664,0.37256,0.2847,0.25192,0.17661,1.0398,0.17353,1.2382,0.000946048,0.000946048,0.000946048
8,7997.25,1.07869,0.19124,1.30635,0.36538,0.29337,0.26338,0.18536,1.02544,0.17068,1.22711,0.000927057,0.000927057,0.000927057
9,8994.03,1.07898,0.18848,1.3017,0.3969,0.29952,0.27456,0.19451,1.01686,0.16847,1.21767,0.000905463,0.000905463,0.000905463
10,9992.41,1.06237,0.18625,1.28734,0.40011,0.30667,0.28268,0.20126,1.01159,0.16666,1.21189,0.000881401,0.000881401,0.000881401
11,10992,1.05459,0.18429,1.27993,0.4073,0.31134,0.28835,0.20588,1.0066,0.16531,1.20653,0.000855018,0.000855018,0.000855018
12,11986,1.04676,0.18316,1.27378,0.41399,0.3166,0.29386,0.21017,1.00322,0.16417,1.20307,0.000826477,0.000826477,0.000826477
13,12984,1.04569,0.1811,1.27073,0.4191,0.32017,0.29833,0.21395,1.00092,0.16315,1.19969,0.000795954,0.000795954,0.000795954
